candidate,fold,subsample,scale_pos_weight,random_strength,max_ctr_complexity,l2_leaf_reg,depth,border_count,train_auprc,validation_auprc,validation_auroc
13,1,0.6,2.0,0.5,3,20.0,6,128,0.2340879453188946,0.14207146522642766,0.6268761540669183
13,2,0.6,2.0,0.5,3,20.0,6,128,0.24877749243583663,0.13782429151786177,0.6223197218867945
13,3,0.6,2.0,0.5,3,20.0,6,128,0.2335364694101738,0.14075208677533918,0.6313624030298223
13,4,0.6,2.0,0.5,3,20.0,6,128,0.2262674399310552,0.14379510157057504,0.6169349491300651
13,5,0.6,2.0,0.5,3,20.0,6,128,0.22858278809263166,0.1410025183101561,0.6344399561201894
14,1,1.0,10.134239310573417,1.0,4,50.0,7,128,0.20947279698875748,0.14143171990177555,0.6290194018616689
14,2,1.0,10.134239310573417,1.0,4,50.0,7,128,0.21694771432855078,0.13673482220733743,0.6244559302117798
14,3,1.0,10.134239310573417,1.0,4,50.0,7,128,0.21392902817250753,0.1419085957697374,0.634031803370718
14,4,1.0,10.134239310573417,1.0,4,50.0,7,128,0.21398855873135386,0.1455841719485168,0.617176857603506
14,5,1.0,10.134239310573417,1.0,4,50.0,7,128,0.20375301377878888,0.13641740523532062,0.6271159872482776
15,1,0.8,10.134239310573417,1.0,3,50.0,5,254,0.18180995330921879,0.14481601062465482,0.627270364373785
15,2,0.8,10.134239310573417,1.0,3,50.0,5,254,0.18138999536052275,0.1397906989487231,0.6242777774769457
15,3,0.8,10.134239310573417,1.0,3,50.0,5,254,0.18519126373208128,0.1399196038333123,0.6299684461312951
15,4,0.8,10.134239310573417,1.0,3,50.0,5,254,0.18567939972669925,0.14692341052628216,0.6211043447249986
15,5,0.8,10.134239310573417,1.0,3,50.0,5,254,0.1771179070046991,0.14052968573954144,0.6320360584648304
16,1,0.6,4.0,0.5,2,10.0,7,64,0.35526675069062835,0.1407888653277368,0.6255619392114711
16,2,0.6,4.0,0.5,2,10.0,7,64,0.36800605139066783,0.1331135310658278,0.6071163624352234
16,3,0.6,4.0,0.5,2,10.0,7,64,0.3381491473094738,0.13771305909475845,0.6360104628126743
16,4,0.6,4.0,0.5,2,10.0,7,64,0.3371727729358115,0.13584479349980833,0.6022422637426116
16,5,0.6,4.0,0.5,2,10.0,7,64,0.3247611564361992,0.13685287121425949,0.627917919261691
17,1,0.6,1.0,1.0,3,3.0,5,254,0.19773761953926827,0.14414762495590805,0.6259347603602042
17,2,0.6,1.0,1.0,3,3.0,5,254,0.20299935765065039,0.14313262376021485,0.6262304180903544
17,3,0.6,1.0,1.0,3,3.0,5,254,0.19885018678299005,0.1377777257741193,0.630222558507544
17,4,0.6,1.0,1.0,3,3.0,5,254,0.18752076496611447,0.14678651784586824,0.621232892501244
17,5,0.6,1.0,1.0,3,3.0,5,254,0.1932519970104749,0.14475989916212,0.6349967252860799
18,1,1.0,4.0,0.0,3,3.0,4,254,0.2032440383106005,0.1407792644185025,0.6237760798817369
18,2,1.0,4.0,0.0,3,3.0,4,254,0.20922140576406428,0.1394803735653181,0.6248325418442328
18,3,1.0,4.0,0.0,3,3.0,4,254,0.20676434262900165,0.13551467053785526,0.6270744939787299
18,4,1.0,4.0,0.0,3,3.0,4,254,0.20400889722541313,0.14003184525453682,0.6154759047498946
18,5,1.0,4.0,0.0,3,3.0,4,254,0.19846851651053962,0.14139350674842716,0.6296592805934894
19,1,0.6,10.134239310573417,1.0,1,10.0,7,128,0.3186679146440399,0.1415611697928546,0.6251601479371646
19,2,0.6,10.134239310573417,1.0,1,10.0,7,128,0.3304541607948431,0.13173667482897655,0.6108819372620794
19,3,0.6,10.134239310573417,1.0,1,10.0,7,128,0.31804014733048297,0.13487396165156834,0.6223320573474953
19,4,0.6,10.134239310573417,1.0,1,10.0,7,128,0.30115151996545214,0.13838272483631942,0.5990971823900395
19,5,0.6,10.134239310573417,1.0,1,10.0,7,128,0.29838229085095386,0.13462824210260205,0.6199620594221588
20,1,1.0,6.0,2.0,2,3.0,7,128,0.28008285365910324,0.14025897948881158,0.6221935529286902
20,2,1.0,6.0,2.0,2,3.0,7,128,0.3030591144327295,0.14072950366701706,0.6167460863255592
20,3,1.0,6.0,2.0,2,3.0,7,128,0.2960641406488975,0.13667641965370214,0.626674748362304
