rank_test_score,mean_test_score,std_test_score,mean_train_score,param_model__C,param_model__l1_ratio,param_model__class_weight
69,0.14314051932685773,0.0047550696522082265,0.14511085209234387,0.01,0.0,"{0: 1, 1: 6}"
70,0.14313043151957067,0.004547980650516643,0.1457062913109271,0.1,0.0,"{0: 1, 1: 2}"
71,0.1431265428440108,0.004702978815593891,0.14541590652996786,0.1,0.75,"{0: 1, 1: 4}"
72,0.14311044362396322,0.0044502864157716805,0.14586956056707495,1.0,0.25,
73,0.14310243063227185,0.004461719872374847,0.1458694420750501,1.0,0.5,
74,0.1431015966034453,0.004422157416443238,0.14586351774783712,10.0,1.0,
75,0.1431014199443385,0.004416732932638874,0.14586426981493092,10.0,0.75,
76,0.14310007582093126,0.004483508259462033,0.1458595297430993,1.0,0.75,
77,0.14310002779333603,0.004769967141459575,0.14514369837388746,0.1,1.0,"{0: 1, 1: 6}"
78,0.14309774684315651,0.00441875017313507,0.14586657059868852,10.0,0.25,
79,0.14309754243761022,0.004422210794193095,0.14586511184031317,1.0,0.0,
80,0.14309395408002237,0.004420232427738541,0.1458651765448636,10.0,0.5,
81,0.1430930568662119,0.0044148136477876665,0.145866477519051,10.0,0.0,
82,0.1430774401206358,0.004854366341128206,0.14475139505048648,0.01,0.0,balanced
83,0.14306952949013577,0.004649659762091434,0.14542200951403825,0.1,0.5,"{0: 1, 1: 4}"
84,0.1430558188511203,0.004697525194239534,0.1451531534085598,0.1,0.75,"{0: 1, 1: 6}"
85,0.1430519560430365,0.004674138281463474,0.14539505187857585,0.1,0.25,"{0: 1, 1: 4}"
86,0.14305069915563587,0.004604159424585295,0.1457114589209195,1.0,1.0,"{0: 1, 1: 2}"
87,0.1430423024761431,0.004791755754149867,0.14497285322068237,0.1,1.0,"{0: 1, 1: 8}"
88,0.1430234353952391,0.004608545730238494,0.14570950033931518,1.0,0.75,"{0: 1, 1: 2}"
89,0.1430225064519845,0.004901042785503034,0.14480009356619253,0.1,1.0,balanced
90,0.14302149623755528,0.004781904042927946,0.14495454889361545,0.01,0.0,"{0: 1, 1: 8}"
91,0.14301237350521437,0.00466704182160986,0.1451668257846574,0.1,0.5,"{0: 1, 1: 6}"
92,0.14300317732472573,0.004785624549238135,0.14480510680593411,0.01,0.0,"{0: 1, 1: 10}"
93,0.14300080854907282,0.004579481431930021,0.1457153509906011,1.0,0.5,"{0: 1, 1: 2}"
94,0.14299261759024812,0.004749355714550932,0.1449814186116836,0.1,0.75,"{0: 1, 1: 8}"
95,0.14299172159622053,0.004577605193463353,0.1457112631247576,1.0,0.25,"{0: 1, 1: 2}"
96,0.14298976951838038,0.004865699765431985,0.1448110916810473,0.1,0.75,balanced
97,0.14298894292323594,0.0046561390252038,0.14539371200549853,0.1,0.0,"{0: 1, 1: 4}"
98,0.1429822846728246,0.00465178307882119,0.1454027885054695,1.0,1.0,"{0: 1, 1: 4}"
