rank_test_auprc,mean_test_auprc,std_test_auprc,mean_train_auprc,std_train_auprc,mean_test_auroc,std_test_auroc,param_model__n_estimators,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples,param_model__class_weight,train_validation_auprc_gap
33,0.13753830685527163,0.005227496137616042,0.16333531663184114,0.0015823507304326765,0.6239142859404148,0.009775390984372943,500,entropy,6,100,100,,0.75,balanced,0.025797009776569513
34,0.13744819389209786,0.006379576572854762,0.28155778870639897,0.003291556868578039,0.6267101077341635,0.009920862046665828,300,gini,12,25,25,0.3,0.75,balanced_subsample,0.1441095948143011
35,0.13735276618862863,0.0055078294965559575,0.16613712995546517,0.002015929917997406,0.6268541577898423,0.010281276240322188,700,gini,16,200,200,0.3,0.75,"{0: 1, 1: 4}",0.028784363766836546
36,0.13706496769192725,0.005716789800734164,0.16110906186323323,0.0016118640580024164,0.6269122691553424,0.010284257626474433,700,gini,8,50,200,0.3,0.75,"{0: 1, 1: 6}",0.024044094171305985
37,0.1369381572219539,0.006560599639470109,0.34044948510037837,0.006596007782270159,0.6270502559682937,0.01034871779908009,200,gini,10,10,10,0.3,,"{0: 1, 1: 8}",0.20351132787842446
38,0.1368573391391012,0.0052516584351086715,0.15906524715665424,0.0018118160458163314,0.625972500130231,0.010104532158824482,200,gini,6,200,100,0.3,0.75,balanced,0.02220790801755304
39,0.1367396483964832,0.0058484173974760936,0.17743109102123333,0.0016917289682063233,0.6268884430717254,0.010539823420414264,300,gini,12,200,100,sqrt,,"{0: 1, 1: 6}",0.040691442624750135
40,0.13671043973449598,0.004802770487572205,0.63927406463944,0.01027262148286867,0.6184815689343418,0.009375373810145941,300,log_loss,,50,5,0.5,0.75,"{0: 1, 1: 2}",0.5025636249049441
41,0.13649091725681234,0.00658890693268874,0.538789883489574,0.006966715016560509,0.6267655660374281,0.010619844255915905,700,entropy,,25,5,log2,0.5,balanced,0.4022989662327617
42,0.1364473748140177,0.006554703604710943,0.545997075327976,0.009326405526939287,0.6189034036236719,0.010945303379681429,300,entropy,,50,10,0.5,0.5,"{0: 1, 1: 8}",0.40954970051395834
43,0.13642058681533378,0.007081954596714847,0.2522253319531119,0.00608674161130665,0.6237539190280296,0.011159108205837742,200,gini,8,10,10,0.5,,balanced_subsample,0.11580474513777814
44,0.13629583012858076,0.0053783122332212155,0.15479654833471057,0.0016047036094008844,0.6258130582781953,0.010381698788063068,500,gini,6,200,200,0.3,,"{0: 1, 1: 6}",0.018500718206129807
45,0.13624182822741643,0.005642696365016138,0.15347463646663412,0.0018075967947542018,0.62547362961205,0.010711343892499583,700,entropy,6,10,200,0.3,0.75,balanced_subsample,0.01723280823921769
46,0.13622550449904686,0.0052902071576820175,0.5009961422309606,0.01318993347905762,0.615876590992805,0.00961662709645103,700,log_loss,16,50,10,,,"{0: 1, 1: 6}",0.3647706377319137
47,0.13574459637723563,0.00546061756498338,0.156436217487279,0.0017215691457247617,0.6254068510281103,0.010393672859911059,700,gini,8,25,200,sqrt,,"{0: 1, 1: 2}",0.020691621110043384
48,0.13529289332691588,0.00623463008610889,0.1607711374446139,0.0020792530729798553,0.6257891510271627,0.010891510456997837,300,gini,8,25,100,log2,0.5,"{0: 1, 1: 8}",0.02547824411769803
49,0.13511955954475244,0.006027532311058477,0.1557821059142946,0.0016283993379330158,0.6249068384209631,0.010820357206471584,500,gini,6,25,100,sqrt,,"{0: 1, 1: 8}",0.02066254636954215
50,0.13493252963650526,0.005824612195154018,0.15483649553149706,0.0015221963593034028,0.6249997924393831,0.010507763882054856,700,gini,8,25,200,sqrt,,balanced_subsample,0.0199039658949918
51,0.13487016234654775,0.005395754898085635,0.14947492517979283,0.0017194180196314155,0.6240686985380315,0.01069112296854015,700,gini,6,10,200,log2,0.75,"{0: 1, 1: 2}",0.014604762833245077
52,0.13470281034835682,0.004746035511945612,0.6223904510658144,0.0166549688859372,0.6113934692329578,0.009907119066051049,700,log_loss,20,50,5,,,balanced,0.4876876407174575
53,0.1346023774798343,0.005657421432589244,0.15595836466060847,0.0015010690031283952,0.6246371059074922,0.010478602014119572,700,log_loss,20,2,200,sqrt,0.75,balanced_subsample,0.021355987180774166
54,0.13404114007132267,0.005563539857632933,0.15256262582720773,0.0018496807209553957,0.6240786964240936,0.010212059290923144,500,log_loss,20,50,200,log2,,balanced,0.018521485755885053
55,0.1339873577381088,0.005874089798092957,0.3965563128863666,0.007629173397077221,0.6165960931153697,0.010801972218046877,300,entropy,10,2,5,,0.75,"{0: 1, 1: 6}",0.26256895514825784
56,0.1338477834902014,0.005720770394836359,0.15282596545727054,0.0017407508087124736,0.6246145688047221,0.010308093471187853,500,log_loss,10,100,200,log2,,"{0: 1, 1: 8}",0.01897818196706913
57,0.13237100991642695,0.0048245078544386965,0.8785913723613377,0.00688962073191754,0.6150798803652961,0.010731719695103063,500,gini,,25,5,0.3,,"{0: 1, 1: 4}",0.7462203624449107
58,0.13223676931760261,0.005520660980552262,0.8581835312230414,0.010440128572656098,0.6140864426727274,0.010699087248564663,700,gini,,25,5,0.5,0.75,balanced_subsample,0.7259467619054387
59,0.1307351038168659,0.004484742073392387,0.9333108538387271,0.0034794311134928578,0.6186127637903096,0.010383957578494727,200,log_loss,,2,5,sqrt,,"{0: 1, 1: 6}",0.8025757500218612
60,0.12980524455993597,0.005805146774701092,0.7309451401074087,0.01402665462906268,0.612447078867896,0.009299685420709443,700,gini,12,2,1,0.75,,"{0: 1, 1: 6}",0.6011398955474727
