rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_leaf_nodes,param_model__class_weight,param_model__ccp_alpha,train_validation_auprc_gap
91,0.11993134604525801,0.004274122818342608,0.12206859012344948,0.0007557950361584063,gini,,500,10,,,balanced,0.001,0.0021372440781914637
92,0.11978912846210113,0.004123077617312733,0.18795846213121153,0.004186837597394348,gini,12,200,25,,,"{0: 1, 1: 6}",5e-05,0.0681693336691104
93,0.11966549982087993,0.0045179033244783255,0.1218144387471651,0.0008042538470859256,gini,12,20,400,,,balanced,0.001,0.0021489389262851766
94,0.11966113598425124,0.003307107096067472,0.12795619019638865,0.0048671217716837484,gini,10,500,50,log2,,,5e-05,0.008295054212137415
95,0.11943993232836081,0.004399468126027385,0.1241674189234098,0.002106938649805004,log_loss,4,20,50,sqrt,127,"{0: 1, 1: 2}",0.0001,0.004727486595048985
96,0.11933372871920059,0.00372099756252888,0.12031565517240014,0.0008220843366482359,log_loss,3,20,400,0.5,31,balanced,0.0,0.0009819264531995553
96,0.11933372871920059,0.00372099756252888,0.12031565517240014,0.0008220843366482359,entropy,3,200,400,0.5,31,balanced,0.0,0.0009819264531995553
98,0.1190968046375838,0.004100105637259991,0.1217303852969805,0.0016327086944390023,log_loss,3,50,25,0.5,127,"{0: 1, 1: 2}",5e-05,0.0026335806593967004
99,0.11885129141128055,0.00405312794137404,0.12784564603667797,0.0018967051307529454,gini,6,100,100,log2,127,balanced,1e-05,0.008994354625397424
100,0.11865973702981862,0.0035769881118741767,0.14256120660278299,0.0039022993107936696,gini,8,100,50,log2,,"{0: 1, 1: 2}",1e-05,0.023901469572964365
101,0.11857831555269956,0.0036777698128388514,0.1209581194186455,0.0013304500178723789,entropy,,500,400,,63,,0.0005,0.0023798038659459397
102,0.11843392526643134,0.0023751049792165454,0.12116307649997407,0.0042488092380696145,gini,8,200,400,0.5,31,,0.0001,0.002729151233542726
103,0.11804528642990024,0.007095599804742401,0.1217226672228928,0.004082905098118789,log_loss,,20,10,sqrt,15,"{0: 1, 1: 4}",0.001,0.0036773807929925545
