feature,importance
cat__diag_2_V85,0.00011114739521792281
cat__diag_1_600,0.00011101614041635749
cat__diag_1_531,0.00011083085149248132
cat__diag_2_788,0.00010845789562239578
cat__medical_specialty_PhysicalMedicineandRehabilitation,0.00010774060171277272
cat__diag_3_E849,0.00010745079240524806
cat__diag_1_590,0.00010691634013462514
cat__diag_2_402,0.00010528631581223992
cat__nateglinide_Steady,0.00010503840499446527
cat__diag_1_79,0.00010479163390912301
cat__diag_3_413,0.0001043603123525377
cat__diag_3_287,0.0001030315702582214
cat__diag_1_644,0.00010194291224089058
cat__diag_1_821,0.00010077587098126717
cat__diag_1_285,9.938415828901946e-05
cat__diag_1_823,9.870818315845905e-05
cat__diag_2_304,9.792562543430914e-05
cat__diag_3_331,9.769258584513864e-05
cat__medical_specialty_Pediatrics,9.696813165191482e-05
cat__diag_3_294,9.518205050611112e-05
cat__diag_1_530,9.502184425612138e-05
cat__diag_2_790,9.400637561305426e-05
cat__diag_1_436,9.324551971710501e-05
cat__diag_3_V42,9.292190129268324e-05
cat__diag_3_E885,9.147005429520627e-05
cat__diag_3_197,9.121877045100233e-05
cat__diag_2_V58,9.099946482787599e-05
cat__diag_3_244,9.09677325886153e-05
cat__diag_1_348,8.977639035152266e-05
cat__diag_3_396,8.897300530086109e-05
cat__diag_3_781,8.890944884045673e-05
cat__diag_1_787,8.871866104931148e-05
cat__diag_2_197,8.83213050409482e-05
cat__diag_3_799,8.744361312345745e-05
cat__diag_3_453,8.597034715394164e-05
cat__diag_1_174,8.365828653626225e-05
cat__diag_3_458,8.346531412753155e-05
cat__diag_1_250.4,8.341024755095837e-05
cat__diag_1_202,8.32840594594129e-05
cat__diag_1_250,8.313932121896637e-05
cat__diag_1_331,8.00921317491878e-05
cat__diag_1_444,7.95932063905609e-05
cat__diag_2_196,7.923809947790487e-05
cat__diag_1_553,7.906202710326371e-05
cat__diag_3_342,7.7899896970319e-05
cat__diag_1_532,7.750777005188875e-05
cat__diag_2_303,7.645650013650087e-05
cat__diag_1_443,7.567501764881245e-05
cat__diag_1_53,7.556568961089809e-05
cat__diag_3_788,7.528867431194527e-05
cat__diag_3_V64,7.48003513185405e-05
cat__diag_1_812,7.443255829652588e-05
cat__diag_1_482,7.442937566300945e-05
cat__diag_3_571,7.402299356734296e-05
cat__diag_2_492,7.40175683420025e-05
cat__diag_1_404,7.357017459646978e-05
cat__diag_2_569,7.325676719403739e-05
cat__diag_2_287,7.316057615880107e-05
cat__diag_1_426,7.19716135514747e-05
cat__diag_1_564,7.015861332514484e-05
cat__diag_1_182,6.921737150447345e-05
cat__diag_2_250.41,6.896868259278135e-05
cat__medical_specialty_Surgery-Thoracic,6.861244599904556e-05
cat__diag_1_424,6.855150569231448e-05
cat__diag_2_730,6.842956317512328e-05
