feature,importance
cat__diag_3_431,0.0
cat__diag_3_429,0.0
cat__medical_specialty_Pediatrics-CriticalCare,0.0
cat__diag_3_423,0.0
cat__diag_3_420,0.0
cat__medical_specialty_Pediatrics-Pulmonology,0.0
cat__diag_3_42,0.0
cat__diag_3_417,0.0
cat__diag_3_416,0.0
cat__diag_3_415,0.0
cat__medical_specialty_Pediatrics-EmergencyMedicine,0.0
cat__diag_3_412,0.0
cat__diag_3_411,0.0
cat__diag_3_410,0.0
cat__diag_3_405,0.0
cat__diag_3_404,0.0
cat__medical_specialty_Pediatrics-Hematology-Oncology,0.0
cat__medical_specialty_Pediatrics-Neurology,0.0
cat__diag_3_362,0.0
cat__diag_3_360,0.0
cat__medical_specialty_PhysicianNotFound,0.0
cat__diag_3_306,0.0
cat__diag_3_319,0.0
cat__diag_3_318,0.0
cat__diag_3_317,0.0
cat__diag_3_315,0.0
cat__diag_3_314,0.0
cat__diag_3_313,0.0
cat__diag_3_312,0.0
cat__diag_3_311,0.0
cat__diag_3_310,0.0
cat__diag_3_309,0.0
cat__diag_3_308,0.0
cat__diag_3_307,0.0
cat__diag_3_304,0.0
cat__diag_3_327,0.0
cat__diag_3_303,0.0
cat__diag_3_301,0.0
cat__diag_3_300,0.0
cat__diag_3_299,0.0
cat__diag_3_298,0.0
cat__diag_3_295,0.0
cat__diag_3_294,0.0
cat__medical_specialty_Perinatology,0.0
cat__diag_3_292,0.0
cat__diag_3_291,0.0
cat__medical_specialty_PhysicalMedicineandRehabilitation,0.0
cat__diag_3_289,0.0
cat__diag_3_323,0.0
cat__diag_3_331,0.0
cat__diag_3_359,0.0
cat__diag_3_345,0.0
cat__diag_3_358,0.0
cat__diag_3_356,0.0
cat__diag_3_355,0.0
cat__diag_3_354,0.0
cat__diag_3_353,0.0
cat__diag_3_351,0.0
cat__diag_3_350,0.0
cat__diag_3_35,0.0
cat__diag_3_349,0.0
cat__diag_3_348,0.0
cat__diag_3_347,0.0
cat__diag_3_346,0.0
cat__diag_3_344,0.0
cat__diag_3_332,0.0
cat__diag_3_343,0.0
cat__diag_3_342,0.0
cat__diag_3_341,0.0
cat__diag_3_340,0.0
cat__diag_3_34,0.0
cat__diag_3_226,0.0
cat__diag_3_338,0.0
cat__diag_3_337,0.0
cat__diag_3_336,0.0
cat__diag_3_335,0.0
cat__diag_3_334,0.0
cat__diag_3_333,0.0
cat__diag_3_227,0.0
cat__diag_3_151,0.0
cat__diag_3_225,0.0
cat__diag_2_942,0.0
cat__diag_2_969,0.0
cat__diag_2_968,0.0
cat__diag_2_967,0.0
cat__diag_2_965,0.0
cat__diag_2_963,0.0
cat__diag_2_962,0.0
cat__diag_2_959,0.0
cat__diag_2_958,0.0
cat__diag_2_955,0.0
cat__diag_2_953,0.0
cat__diag_2_948,0.0
cat__diag_2_945,0.0
cat__diag_2_944,0.0
cat__diag_2_94,0.0
cat__diag_2_911,0.0
cat__diag_2_934,0.0
cat__diag_2_933,0.0
cat__diag_2_927,0.0
cat__diag_2_924,0.0
cat__diag_2_923,0.0
cat__diag_2_922,0.0
cat__diag_2_921,0.0
